Wavelength	Temperature(¡C)	A1
600	25.2	1.664
610	25.2	2.273
620	25.2	4.629
630	25.2	16.405
640	25.2	44.874
650	25.2	68.375
660	25.2	58.548
670	25.2	30.657
680	25.2	17.008
690	25.2	15.1
700	25.2	16.277
710	25.2	15.485
720	25.2	10.58
730	25.2	5.969
740	25.2	3.503
750	25.2	2.198

Ref	Temperature(¡C)	A1
600	25.2	
610	25.2	
620	25.2	
630	25.2	
640	25.2	
650	25.2	
660	25.2	
670	25.2	
680	25.2	
690	25.2	
700	25.2	
710	25.2	
720	25.2	
730	25.2	
740	25.2	
750	25.2	

Raw-Ref	Temperature(¡C)	A1
600	25.2	1.664
610	25.2	2.273
620	25.2	4.629
630	25.2	16.405
640	25.2	44.874
650	25.2	68.375
660	25.2	58.548
670	25.2	30.657
680	25.2	17.008
690	25.2	15.1
700	25.2	16.277
710	25.2	15.485
720	25.2	10.58
730	25.2	5.969
740	25.2	3.503
750	25.2	2.198
