Wavelength	Temperature(¡C)	A1
600	25.4	168.362
610	25.4	244.955
620	25.4	94.675
630	25.4	52.818
640	25.4	40.507
650	25.4	30.314
660	25.4	26.449
670	25.4	23.059
680	25.4	21.247
690	25.4	20.859
700	25.4	20.697
710	25.4	21.712
720	25.4	23.174
730	25.4	28.555
740	25.4	36.728
750	25.4	53.423

Ref	Temperature(¡C)	A1
600	25.4	
610	25.4	
620	25.4	
630	25.4	
640	25.4	
650	25.4	
660	25.4	
670	25.4	
680	25.4	
690	25.4	
700	25.4	
710	25.4	
720	25.4	
730	25.4	
740	25.4	
750	25.4	

Raw-Ref	Temperature(¡C)	A1
600	25.4	168.362
610	25.4	244.955
620	25.4	94.675
630	25.4	52.818
640	25.4	40.507
650	25.4	30.314
660	25.4	26.449
670	25.4	23.059
680	25.4	21.247
690	25.4	20.859
700	25.4	20.697
710	25.4	21.712
720	25.4	23.174
730	25.4	28.555
740	25.4	36.728
750	25.4	53.423
