Wavelength	Temperature(¡C)	A1
600	25.3	2.145
610	25.3	2.407
620	25.3	1.172
630	25.3	1.516
640	25.3	2.632
650	25.3	3.87
660	25.3	3.462
670	25.3	1.969
680	25.3	1.196
690	25.3	0.954
700	25.3	0.967
710	25.3	0.957
720	25.3	0.854
730	25.3	0.75
740	25.3	0.731
750	25.3	0.71

Ref	Temperature(¡C)	A1
600	25.3	
610	25.3	
620	25.3	
630	25.3	
640	25.3	
650	25.3	
660	25.3	
670	25.3	
680	25.3	
690	25.3	
700	25.3	
710	25.3	
720	25.3	
730	25.3	
740	25.3	
750	25.3	

Raw-Ref	Temperature(¡C)	A1
600	25.3	2.145
610	25.3	2.407
620	25.3	1.172
630	25.3	1.516
640	25.3	2.632
650	25.3	3.87
660	25.3	3.462
670	25.3	1.969
680	25.3	1.196
690	25.3	0.954
700	25.3	0.967
710	25.3	0.957
720	25.3	0.854
730	25.3	0.75
740	25.3	0.731
750	25.3	0.71
